# x,p
0.0000000000000000,0.0000000000000000
0.1000000000000000,582208619965644800000.0000000000000000
0.2000000000000000,1975242319193616154624.0000000000000000
0.3000000000000000,4983983665473994620928.0000000000000000
0.4000000000000000,11082566822329082445824.0000000000000000
0.5000000000000000,22898050204367289581568.0000000000000000
0.6000000000000000,44994867105007444951040.0000000000000000
0.7000000000000000,85109500307984900685824.0000000000000000
0.8000000000000000,156025401913887617449984.0000000000000000
0.9000000000000000,278292011110987888328704.0000000000000000
1.0000000000000000,483918962071587602300928.0000000000000000
